signal_date,symbol,sector,selected_direction,directional_edge,ofactor_long,ofactor_short,xfactor_score,decision_code,setup_state,data_quality_score,data_permission,hard_gates,stock_primary_trend,nifty_primary_trend,vix_regime,close_price,rsi_14,willr_14,close_vs_ema61_pct,volume_vs_sma20,macd_line_pct_close,atr14,o_long_market_regime_support,o_short_market_regime_support,x_long_entry_location_quality,x_long_stop_invalidation_quality,x_long_market_sector_synchronisation,x_short_entry_location_quality,x_short_stop_invalidation_quality,x_short_market_sector_synchronisation,daily_level,canonical_status,qualified
2024-10-15,SOLARINDS,Chemicals,LONG,11.6657,53.134,41.4683,78.67,ENTERABLE_TIER_B,TRIGGERED,98.5,FULL,,TRANSITION,SIDEWAYS,LOW,11386.45,55.89574083904585,-41.55492957746471,4.7233843456481095,1.0936767546192028,0.9323787712286212,442.9857142857144,40.1685,59.8315,79.7484,76.5455,41.942,79.7484,86.3698,58.058,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-10-15,SUPREMEIND,Capital Goods,LONG,18.293,53.5971,35.3041,83.3406,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,LOW,5348.7,50.43564796715385,-50.44711014176667,-0.1723781455227953,0.8946656663750377,-0.1618858333993002,179.14642857142857,40.1685,59.8315,99.9814,73.9431,63.5195,99.9814,89.2155,36.4805,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-11-25,ASTERDM,OTHER,LONG,32.8875,66.1291,33.2416,80.4152,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,NORMAL,439.3,56.088667851009454,-50.46554934823092,4.488537867193093,1.7813682037448368,0.5371411250767747,10.921428571428564,42.7155,57.2845,86.4334,75.278,49.7526,86.4334,87.7305,50.2474,LOW,UPGRADE_OFACTOR_REQUIRED,False
2024-11-25,BEML,OTHER,LONG,17.8837,56.6929,38.8092,84.9274,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,NORMAL,3940.65,52.44011608883709,-57.1118881118881,0.7170272585066418,0.94315909060493,-0.4169800883989427,191.18571428571428,42.7155,57.2845,96.8791,86.2647,49.7526,96.8791,75.3015,50.2474,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-11-25,KARURVYSYA,OTHER,LONG,31.1474,64.0546,32.9072,78.3571,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,NORMAL,222.45,54.35815258073688,-56.00387346675279,2.8043195410076724,1.2654949895389498,-0.0125522740172833,7.891428571428579,42.7155,57.2845,87.1379,67.9146,49.7526,87.1379,91.1296,50.2474,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-11-25,WELCORP,OTHER,LONG,40.0867,71.0229,30.9362,74.079,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,NORMAL,747.05,56.53746525090075,-37.824831568816194,5.847958025320908,1.754134926493447,-0.3460063547654098,34.94642857142858,42.7155,57.2845,59.7002,65.6617,49.7526,59.7002,96.6234,50.2474,LOW,UPGRADE_OFACTOR_REQUIRED,False
2024-11-26,ANGELONE,OTHER,LONG,36.8211,73.4646,36.6435,73.0759,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,NORMAL,2909.2,56.35610426137092,-25.80487804878053,6.6418537824852,1.4095381556004938,-0.5042480972139542,121.79999999999995,43.0019,56.9981,61.0263,55.9606,55.3941,61.0263,90.5419,44.6059,LOW,UPGRADE_OFACTOR_REQUIRED,False
2024-11-26,ASTERDM,OTHER,LONG,8.7278,49.4896,40.7618,79.8822,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,NORMAL,439.85,56.46400624164648,-48.417132216014856,4.463693737937112,1.0213677348744237,0.5999140425453953,10.64285714285714,43.0019,56.9981,79.8456,84.0268,55.3941,79.8456,92.6711,44.6059,LOW,RESEARCH_ONLY_NO_STANDARD_TRADE,False
2024-11-26,BEML,OTHER,LONG,30.5205,68.7732,38.2527,82.6672,ENTERABLE_TIER_B,TRIGGERED,97.2931,FULL,,,SIDEWAYS,NORMAL,4015.25,55.62524437248661,-46.67832167832168,2.536907649516285,1.511410953363202,-0.097207351533252,196.28571428571425,43.0019,56.9981,76.3712,82.6376,55.3941,76.3712,79.0306,44.6059,LOW,UPGRADE_OFACTOR_REQUIRED,False
2024-12-02,MAXHEALTH,Healthcare,LONG,37.2938,68.5333,31.2395,80.6386,ENTERABLE_TIER_B,TRIGGERED,98.5,FULL,,TRANSITION,SIDEWAYS,LOW,1019.2,55.24580792587665,-42.29565217391301,4.871236657112248,0.8444162389930462,0.2761802160799974,43.00000000000001,47.7815,52.2185,94.8605,54.3721,56.0684,94.8605,96.5581,43.9316,LOW,UPGRADE_OFACTOR_REQUIRED,False
